Brand,Specifications,Price
DELL,Dell 13-XPS-1395 Laptop i7-1065G7/32GB/1TB SSD/Intel Iris Plus Graphics/13.4 UHD/60Hz/Windows 10/Silver,"9,999 AED"
DELL,"Dell XPS 1331 i7-10510U/16GB/1TB SSD/Intel-R UHD Graphics/13.3"" FHD/60Hz/Windows 10","6,549 AED"
ASUS,ASUS ZenBook Flip UX463FL-AI023T Notebook i5-10210U/8 GB/512 GB SSD/NVIDIA GeForce MX250 2 GB/14 FHD/60 Hz/Windows 10/Grey,"4,299 AED"
ASUS,ASUS ZenBook UX433FLC-A5366T Laptop i7-10510U/16GB/1TB SSD/NVIDIA GeForce MX250 2GB/14 FHD/60Hz/Windows 10 Home/Silver,"5,299 AED"
ASUS,"ASUS Zenbook Laptop R5-3500U/BGA LPDDR3 8 GB/512 GB G3X2 SSD/14"" Full HD/Windows 10/Silver Blue","2,999 AED"
MSI,"MSI Modern 14 A10RAS-864 i7-10510U/1.80 GHz/16GB/512GB SSD/GeForce MX330 2GB/14"" FHD/60Hz/Windows 10/Carbon Grey","3,999 AED"
ASUS,ASUS VivoBook S433FL-EB081T Laptop i7-10510U/8GB/512GB SSD/NVIDIA GeForce MX250 2GB/14 FHD/60Hz/Windows 10 Home/White,"3,499 AED"
MSI,MSI Prestige 15 A10SC Notebook PC i7-10710U/16 GB/1 TB SSD/NVIDIA GeForce GTX 1650 Max-Q 4 GB/15.6 Inch FHD Display/60Hz/Windows 10 Home Advanced/Grey Silver,"5,999 AED"
MICROSOFT,"Microsoft Surface Laptop 3 Amd Ryzen 5 3580U/8GB/256GB SSD/15"" Pixel Sense/Windows 10/Black Metal","6,299 AED"
ASUS,"ASUS VivoBook Laptop AMD R5-3500U /8GB/512GB SSD/AMD Radeon R540X 2GB/17.3"" FHD/Windows 10/Transparent Silver","2,299 AED"
ASUS,"ASUS ZenBook i7-10510U Laptop 16GB/1TB SSD/NVIDIA GeForce GTX 1650 4GB/15.6"" FHD/Windows 10/Silver","5,799 AED"
ASUS,ASUS ZenBook Flip Notebook UX463FL-AI025T i7-10510U/16 GB/1 TB SSD/NVIDIA GeForce MX250 2 GB/14 FHD/60 Hz/Windows 10/Grey,"5,199 AED"
ASUS,"ASUS VivoBook Laptop A420FA-EB199T i7-8565U/8GB/512GB SSD/Intel HD Graphics/14"" FHD/45Hz/Windows 10/Transparent Silver","2,899 AED"
ASUS,ASUS ZenBook UX434FLC-Ai134TS Notebook i7-10510U/16 GB/1 TB SSD/NVIDIA GeForce MX250 2 GB/14 FHD/Windows 10/Royal Blue,"5,499 AED"
DELL,"Dell XPS 1352 i7-1065G7 32GB/1TB SSD/Intel Iris Plus Graphics/13.4"" UHD/60Hz/Windows 10/Silver","10,349 AED"
ASUS,ASUS Zephyrus G14 AniMe GA401IV-HA194T Notebook R9-4900HS/16 GB/1 TB SSD/NVIDIA GeForce RTX 2060 MAX-Q 6 GB/14 Inch WQHD Display/60Hz/Windows 10 Home/Eclipse Grey,"7,499 AED"
MICROSOFT,"Microsoft Surface Laptop 3 i5-1035G7/8GB/256GB SSD/13.5"" Pixel Sense/Windows 10/Black Metal","5,469 AED"
ASUS,"ASUS ZenBook S13 UX392FN i7-8565U/16GB/1TB SSD/NVIDIA GeForce MX150 2GB/13.9"" FHD/Windows 10 Pro","5,499 AED"
DELL,"Dell Inspiron 15-XPS-1294 Laptop i7-79750H/32 GB/1 TB SSD/NVIDIA GeForce RTX 1650 4GB/15.6"" 4K UHD/60Hz Refresh Rate/Windows 10/Silver","10,549 AED"
MSI,"MSI Prestige 14 10SC Notebook i7-1071OU/16 GB/1 Tb SSD/NVIDIA GeForce GTX 1650 Max-Q 4 GB/14"" FHD/60 Hz/Windows 10/Black","5,499 AED"
DELL,"Dell XPS 1309 i7-9750H/16GB/1TB SSD/GeForce GTX 1650 4GB/15.6""/Windows 10/Silver","8,949 AED"
DELL,"Dell XPS 1311 i7-1065G7/32GB/1TB SSD/Shared Graphics/13.4"" UHD/60Hz/Windows 10/Silver","10,249 AED"
DELL,"Dell Inspiron 7000 Series i5-10210U/8GB/512GB SSD/GeForce MX250 2GB/14"" FHD/Windows 10/Silver","4,349 AED"
MICROSOFT,"Microsoft Surface Laptop 3 Amd Ryzen 5 3580U/8GB/256GB SSD/15"" Pixel Sense/Windows 10/Platinum Metal","6,299 AED"
ASUS,ASUS ZenBook UX433FLC-A5419T Laptop i5-10210U/16GB/256GB SSD/NVIDIA GeForce MX250 2GB/14 FHD/60Hz/Windows 10 Home/Silver,"4,499 AED"
ASUS,ASUS VivoBook S433FL-EB078T Laptop i7-10510U/8GB/512GB SSD/NVIDIA GeForce MX250 2GB/14 FHD/60Hz/Windows 10 Home/Grey,"3,499 AED"
MSI,"MSI Modern 14 Notebook i7-10510U 1.8Ghz/16 GB/512 GB SSD/14"" FHD/NVIDIA GeForce MX 250 2 GB/Windows 10/Dark Grey","3,499 AED"
DELL,"Dell Inspiron 5000 Series i5-10210U/8GB/512GB SSD/GeForce MX230 2GB/14"" FHD/Windows 10/Silver","3,349 AED"
DELL,"Dell Inspiron 7000 Series i7-10510U/16GB/1TB SSD/GeForce MX250 2GB/14"" FHD/Windows 10/Silver","5,549 AED"
DELL,Dell 15-XPS-1399 7590 Notebook PC i7-9750H/32 GB/1 TB SSD/NVIDIA GeForce GTX 1650 4 GB/15.6 UHD Display/60Hz/Windows 10/Silver,"9,999 AED"
DELL,Dell 15-XPS-1400 7590 Laptop i7-9750H/16GB/1TB SSD/NVIDIA GeForce Gtx 1650 4GB/15.6 UHD/60Hz/Windows 10/Silver,"8,999 AED"
MSI,MSI Bravo 17 A4DDR Notebook PC RY7-4800H/16 GB/512 GB SSD/AMD Radeon RX 5500M 4 GB/17.3 Inch FHD Display/120Hz/Windows 10 Home Plus/Black,"4,299 AED"
MICROSOFT,Microsoft Surface Book 2 1.90 GHz 8th Gen Intel Core i7-8650U 13.5 Inch Silver,"10,919 AED"
DELL,Dell Inspiron 8th Gen Intel Core I7-8565U 1.8Ghz/16Gb/1TB+128GB/Nvidia Mx 250 2GB GDDR5/14 FHD/Windows 10,"4,099 AED"
MICROSOFT,Microsoft Surface Book 2 1.7 GHz 8th Gen Intel Core i5-8350U 13.5 Inch Silver,"6,599 AED"
ASUS,"ASUS VivoBook S431Fl-Am002T i7-8565U/16GB/512GB  SSD/NVIDIA GeForce MX250 2GB/14"" FHD/Windows 10/Gun Metal","3,399 AED"
DELL,"Dell Inspiron 5000 Series T-i5-10210U/8GB/512GB SSD/GeForce MX230 2GB/14"" FHD/60Hz/Windows 10/Silver","3,399 AED"
DELL,"Dell XPS i5-9750H/8GB/512GB SSD/GeForce GTX 1650 4GB/15.6"" FHD/60Hz/Windows 10/Silver","6,949 AED"
ASUS,ASUS VivoBook Flip TP412FA-EC357T Laptop i5-1021OU/8GB/256GB SSD/UHD Graphics Shared/14 FHD/60Hz/Windows 10 Home/Grey,"2,599 AED"
DELL,Dell Inspiron 7000 Laptop i7-10510U/16GB/1TB SSD/NVIDIA GeForce MX250 2GB/14 FHD/60Hz/Windows 10/Silver,"5,399 AED"
DELL,Dell 15-XPS-1401 7590 Laptop i9-9980/32GB/1TB SSD/NVIDIA GeForce Gtx 1650 4GB/15.6 UHD/60Hz/Windows 10/Silver,"14,499 AED"
MSI,MSI Creator 17 A10SF Laptop i7-10875H/32GB/1TB SSD/NVIDIA GeForce RTX 2070 Max-Q 8GB/17.3 Inch UHD Display/60Hz/Windows 10 Home Advanced,"12,999 AED"
